,team,total,team_opp,total_opp,season,date,mp,mp.1,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,+/-,ts%,efg%,3par,ftr,orb%,drb%,trb%,ast%,stl%,blk%,tov%,usg%,ortg,drtg,mp_max,mp_max.1,fg_max,fga_max,fg%_max,3p_max,3pa_max,3p%_max,ft_max,fta_max,ft%_max,orb_max,drb_max,trb_max,ast_max,stl_max,blk_max,tov_max,pf_max,pts_max,+/-_max,ts%_max,efg%_max,3par_max,ftr_max,orb%_max,drb%_max,trb%_max,ast%_max,stl%_max,blk%_max,tov%_max,usg%_max,ortg_max,drtg_max,home,index_opp,mp_opp,mp_opp.1,fg_opp,fga_opp,fg%_opp,3p_opp,3pa_opp,3p%_opp,ft_opp,fta_opp,ft%_opp,orb_opp,drb_opp,trb_opp,ast_opp,stl_opp,blk_opp,tov_opp,pf_opp,pts_opp,+/-_opp,ts%_opp,efg%_opp,3par_opp,ftr_opp,orb%_opp,drb%_opp,trb%_opp,ast%_opp,stl%_opp,blk%_opp,tov%_opp,usg%_opp,ortg_opp,drtg_opp,mp_max_opp,mp_max_opp.1,fg_max_opp,fga_max_opp,fg%_max_opp,3p_max_opp,3pa_max_opp,3p%_max_opp,ft_max_opp,fta_max_opp,ft%_max_opp,orb_max_opp,drb_max_opp,trb_max_opp,ast_max_opp,stl_max_opp,blk_max_opp,tov_max_opp,pf_max_opp,pts_max_opp,+/-_max_opp,ts%_max_opp,efg%_max_opp,3par_max_opp,ftr_max_opp,orb%_max_opp,drb%_max_opp,trb%_max_opp,ast%_max_opp,stl%_max_opp,blk%_max_opp,tov%_max_opp,usg%_max_opp,ortg_max_opp,drtg_max_opp,home_opp,won
10,GSW,108,BOS,120,2022,2022-06-02,240.0,240.0,39.0,88.0,0.443,19.0,45.0,0.422,11.0,15.0,0.733,12.0,27.0,39.0,24.0,8.0,6.0,14.0,16.0,108.0,,0.571,0.551,0.511,0.17,27.3,79.4,50.0,61.5,8.5,13.6,12.9,100.0,115.0,127.8,,,12.0,25.0,1.0,7.0,14.0,1.0,4.0,4.0,1.0,6.0,8.0,11.0,5.0,3.0,3.0,4.0,6.0,34.0,3.0,1.5,1.5,1.0,0.571,100.0,29.7,76.9,100.0,4.3,13.0,31.3,55.2,287.0,137.0,1,0,240.0,240.0,43.0,85.0,0.506,21.0,41.0,0.512,13.0,16.0,0.813,7.0,32.0,39.0,33.0,7.0,6.0,12.0,13.0,120.0,,0.652,0.629,0.482,0.188,20.6,72.7,50.0,76.7,7.5,14.0,11.5,100.0,127.8,115.0,,,10.0,23.0,1.0,6.0,8.0,1.0,5.0,7.0,1.0,2.0,5.0,7.0,13.0,2.0,4.0,4.0,3.0,26.0,25.0,1.5,1.5,1.0,0.412,11.7,35.1,23.8,38.0,3.4,18.7,33.3,33.8,300.0,126.0,0,False
11,BOS,120,GSW,108,2022,2022-06-02,240.0,240.0,43.0,85.0,0.506,21.0,41.0,0.512,13.0,16.0,0.813,7.0,32.0,39.0,33.0,7.0,6.0,12.0,13.0,120.0,,0.652,0.629,0.482,0.188,20.6,72.7,50.0,76.7,7.5,14.0,11.5,100.0,127.8,115.0,,,10.0,23.0,1.0,6.0,8.0,1.0,5.0,7.0,1.0,2.0,5.0,7.0,13.0,2.0,4.0,4.0,3.0,26.0,25.0,1.5,1.5,1.0,0.412,11.7,35.1,23.8,38.0,3.4,18.7,33.3,33.8,300.0,126.0,0,1,240.0,240.0,39.0,88.0,0.443,19.0,45.0,0.422,11.0,15.0,0.733,12.0,27.0,39.0,24.0,8.0,6.0,14.0,16.0,108.0,,0.571,0.551,0.511,0.17,27.3,79.4,50.0,61.5,8.5,13.6,12.9,100.0,115.0,127.8,,,12.0,25.0,1.0,7.0,14.0,1.0,4.0,4.0,1.0,6.0,8.0,11.0,5.0,3.0,3.0,4.0,6.0,34.0,3.0,1.5,1.5,1.0,0.571,100.0,29.7,76.9,100.0,4.3,13.0,31.3,55.2,287.0,137.0,1,True
12,BOS,100,MIA,96,2022,2022-05-29,240.0,240.0,35.0,85.0,0.412,11.0,32.0,0.344,19.0,24.0,0.792,10.0,41.0,51.0,22.0,4.0,6.0,13.0,26.0,100.0,,0.523,0.476,0.376,0.282,21.3,85.4,53.7,62.9,4.1,10.3,12.0,100.0,103.2,99.0,,,9.0,22.0,0.625,4.0,10.0,0.667,7.0,8.0,1.0,3.0,12.0,14.0,6.0,2.0,2.0,4.0,5.0,26.0,10.0,0.648,0.625,0.667,1.0,10.2,27.3,16.1,25.2,2.4,4.4,27.3,27.8,117.0,105.0,0,1,240.0,240.0,37.0,88.0,0.42,6.0,30.0,0.2,16.0,24.0,0.667,7.0,37.0,44.0,16.0,4.0,5.0,8.0,18.0,96.0,,0.487,0.455,0.341,0.273,14.6,78.7,46.3,43.2,4.1,9.4,7.5,100.0,99.0,103.2,,,13.0,24.0,0.571,2.0,7.0,0.333,8.0,11.0,1.0,4.0,8.0,11.0,4.0,2.0,2.0,2.0,4.0,35.0,16.0,0.607,0.571,0.75,0.75,8.7,24.0,12.0,19.3,2.6,13.5,40.0,28.0,123.0,111.0,1,True
13,MIA,96,BOS,100,2022,2022-05-29,240.0,240.0,37.0,88.0,0.42,6.0,30.0,0.2,16.0,24.0,0.667,7.0,37.0,44.0,16.0,4.0,5.0,8.0,18.0,96.0,,0.487,0.455,0.341,0.273,14.6,78.7,46.3,43.2,4.1,9.4,7.5,100.0,99.0,103.2,,,13.0,24.0,0.571,2.0,7.0,0.333,8.0,11.0,1.0,4.0,8.0,11.0,4.0,2.0,2.0,2.0,4.0,35.0,16.0,0.607,0.571,0.75,0.75,8.7,24.0,12.0,19.3,2.6,13.5,40.0,28.0,123.0,111.0,1,0,240.0,240.0,35.0,85.0,0.412,11.0,32.0,0.344,19.0,24.0,0.792,10.0,41.0,51.0,22.0,4.0,6.0,13.0,26.0,100.0,,0.523,0.476,0.376,0.282,21.3,85.4,53.7,62.9,4.1,10.3,12.0,100.0,103.2,99.0,,,9.0,22.0,0.625,4.0,10.0,0.667,7.0,8.0,1.0,3.0,12.0,14.0,6.0,2.0,2.0,4.0,5.0,26.0,10.0,0.648,0.625,0.667,1.0,10.2,27.3,16.1,25.2,2.4,4.4,27.3,27.8,117.0,105.0,0,False
14,MIA,111,BOS,103,2022,2022-05-27,240.0,240.0,36.0,78.0,0.462,15.0,35.0,0.429,24.0,25.0,0.96,11.0,26.0,37.0,25.0,10.0,2.0,17.0,27.0,111.0,,0.624,0.558,0.449,0.321,28.2,81.3,52.1,69.4,10.8,5.1,16.0,100.0,119.5,110.9,,,16.0,29.0,0.75,4.0,9.0,1.0,11.0,11.0,1.0,3.0,6.0,9.0,10.0,4.0,1.0,4.0,6.0,47.0,12.0,0.955,1.0,1.0,1.0,20.5,26.8,16.9,44.2,4.5,3.3,42.9,34.3,163.0,120.0,0,1,240.0,240.0,32.0,72.0,0.444,11.0,33.0,0.333,28.0,31.0,0.903,6.0,28.0,34.0,22.0,10.0,4.0,17.0,28.0,103.0,,0.601,0.521,0.458,0.431,18.8,71.8,47.9,68.8,10.8,9.3,16.6,100.0,110.9,119.5,,,9.0,15.0,0.75,4.0,9.0,0.571,8.0,9.0,1.0,2.0,8.0,9.0,5.0,3.0,2.0,7.0,6.0,30.0,5.0,0.966,0.917,1.0,1.0,9.1,26.2,18.5,33.5,4.7,8.5,31.1,23.8,144.0,131.0,1,True
15,BOS,103,MIA,111,2022,2022-05-27,240.0,240.0,32.0,72.0,0.444,11.0,33.0,0.333,28.0,31.0,0.903,6.0,28.0,34.0,22.0,10.0,4.0,17.0,28.0,103.0,,0.601,0.521,0.458,0.431,18.8,71.8,47.9,68.8,10.8,9.3,16.6,100.0,110.9,119.5,,,9.0,15.0,0.75,4.0,9.0,0.571,8.0,9.0,1.0,2.0,8.0,9.0,5.0,3.0,2.0,7.0,6.0,30.0,5.0,0.966,0.917,1.0,1.0,9.1,26.2,18.5,33.5,4.7,8.5,31.1,23.8,144.0,131.0,1,0,240.0,240.0,36.0,78.0,0.462,15.0,35.0,0.429,24.0,25.0,0.96,11.0,26.0,37.0,25.0,10.0,2.0,17.0,27.0,111.0,,0.624,0.558,0.449,0.321,28.2,81.3,52.1,69.4,10.8,5.1,16.0,100.0,119.5,110.9,,,16.0,29.0,0.75,4.0,9.0,1.0,11.0,11.0,1.0,3.0,6.0,9.0,10.0,4.0,1.0,4.0,6.0,47.0,12.0,0.955,1.0,1.0,1.0,20.5,26.8,16.9,44.2,4.5,3.3,42.9,34.3,163.0,120.0,0,False
16,GSW,120,DAL,110,2022,2022-05-26,240.0,240.0,45.0,88.0,0.511,14.0,36.0,0.389,16.0,16.0,1.0,14.0,37.0,51.0,36.0,6.0,3.0,10.0,20.0,120.0,,0.631,0.591,0.409,0.182,33.3,86.0,60.0,80.0,6.6,7.5,9.5,100.0,132.3,121.3,,,12.0,25.0,0.857,8.0,16.0,1.0,4.0,4.0,1.0,7.0,11.0,18.0,9.0,3.0,1.0,3.0,5.0,32.0,18.0,0.97,0.929,0.64,0.667,26.1,40.0,33.1,38.4,4.6,11.3,25.5,31.8,184.0,129.0,1,0,240.0,240.0,37.0,82.0,0.451,17.0,42.0,0.405,19.0,25.0,0.76,6.0,28.0,34.0,22.0,6.0,4.0,7.0,18.0,110.0,,0.591,0.555,0.512,0.305,14.0,66.7,40.0,59.5,6.6,7.7,7.0,100.0,121.3,132.3,,,10.0,28.0,1.0,5.0,13.0,0.714,7.0,9.0,1.0,1.0,8.0,9.0,6.0,2.0,2.0,4.0,4.0,28.0,6.0,1.042,1.0,1.0,2.0,54.9,29.6,27.8,100.0,26.0,5.7,100.0,70.8,224.0,142.0,0,True
17,DAL,110,GSW,120,2022,2022-05-26,240.0,240.0,37.0,82.0,0.451,17.0,42.0,0.405,19.0,25.0,0.76,6.0,28.0,34.0,22.0,6.0,4.0,7.0,18.0,110.0,,0.591,0.555,0.512,0.305,14.0,66.7,40.0,59.5,6.6,7.7,7.0,100.0,121.3,132.3,,,10.0,28.0,1.0,5.0,13.0,0.714,7.0,9.0,1.0,1.0,8.0,9.0,6.0,2.0,2.0,4.0,4.0,28.0,6.0,1.042,1.0,1.0,2.0,54.9,29.6,27.8,100.0,26.0,5.7,100.0,70.8,224.0,142.0,0,1,240.0,240.0,45.0,88.0,0.511,14.0,36.0,0.389,16.0,16.0,1.0,14.0,37.0,51.0,36.0,6.0,3.0,10.0,20.0,120.0,,0.631,0.591,0.409,0.182,33.3,86.0,60.0,80.0,6.6,7.5,9.5,100.0,132.3,121.3,,,12.0,25.0,0.857,8.0,16.0,1.0,4.0,4.0,1.0,7.0,11.0,18.0,9.0,3.0,1.0,3.0,5.0,32.0,18.0,0.97,0.929,0.64,0.667,26.1,40.0,33.1,38.4,4.6,11.3,25.5,31.8,184.0,129.0,1,False
18,BOS,93,MIA,80,2022,2022-05-25,240.0,240.0,33.0,71.0,0.465,10.0,33.0,0.303,17.0,23.0,0.739,6.0,40.0,46.0,24.0,5.0,7.0,15.0,19.0,93.0,,0.573,0.535,0.465,0.324,16.7,67.8,48.4,72.7,5.6,14.3,15.6,100.0,104.5,89.9,,,10.0,20.0,1.0,5.0,9.0,0.556,6.0,8.0,1.0,3.0,10.0,12.0,9.0,2.0,3.0,5.0,4.0,25.0,20.0,1.042,1.0,1.0,1.0,14.9,21.3,18.9,38.2,3.7,11.0,24.4,65.1,221.0,104.0,0,1,240.0,240.0,30.0,94.0,0.319,7.0,45.0,0.156,13.0,14.0,0.929,19.0,30.0,49.0,14.0,7.0,2.0,12.0,19.0,80.0,,0.399,0.356,0.479,0.149,32.2,83.3,51.6,46.7,7.9,5.3,10.7,100.0,89.9,104.5,,,8.0,18.0,1.0,3.0,10.0,0.333,4.0,4.0,1.0,6.0,5.0,11.0,4.0,2.0,1.0,4.0,5.0,18.0,4.0,1.0,1.0,0.833,0.444,53.1,87.0,65.9,24.0,7.1,3.3,100.0,33.3,200.0,112.0,1,True
19,MIA,80,BOS,93,2022,2022-05-25,240.0,240.0,30.0,94.0,0.319,7.0,45.0,0.156,13.0,14.0,0.929,19.0,30.0,49.0,14.0,7.0,2.0,12.0,19.0,80.0,,0.399,0.356,0.479,0.149,32.2,83.3,51.6,46.7,7.9,5.3,10.7,100.0,89.9,104.5,,,8.0,18.0,1.0,3.0,10.0,0.333,4.0,4.0,1.0,6.0,5.0,11.0,4.0,2.0,1.0,4.0,5.0,18.0,4.0,1.0,1.0,0.833,0.444,53.1,87.0,65.9,24.0,7.1,3.3,100.0,33.3,200.0,112.0,1,0,240.0,240.0,33.0,71.0,0.465,10.0,33.0,0.303,17.0,23.0,0.739,6.0,40.0,46.0,24.0,5.0,7.0,15.0,19.0,93.0,,0.573,0.535,0.465,0.324,16.7,67.8,48.4,72.7,5.6,14.3,15.6,100.0,104.5,89.9,,,10.0,20.0,1.0,5.0,9.0,0.556,6.0,8.0,1.0,3.0,10.0,12.0,9.0,2.0,3.0,5.0,4.0,25.0,20.0,1.042,1.0,1.0,1.0,14.9,21.3,18.9,38.2,3.7,11.0,24.4,65.1,221.0,104.0,0,False
