mp,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,+/-,ts%,efg%,3par,ftr,orb%,drb%,trb%,ast%,stl%,blk%,tov%,usg%,ortg,drtg,team,total,home,index_opp,mp_opp,mp_opp,fg_opp,fga_opp,fg%_opp,3p_opp,3pa_opp,3p%_opp,ft_opp,fta_opp,ft%_opp,orb_opp,drb_opp,trb_opp,ast_opp,stl_opp,blk_opp,tov_opp,pf_opp,pts_opp,+/-_opp,ts%_opp,efg%_opp,3par_opp,ftr_opp,orb%_opp,drb%_opp,trb%_opp,ast%_opp,stl%_opp,blk%_opp,tov%_opp,usg%_opp,ortg_opp,drtg_opp,team_opp,total_opp,home_opp,season,date,won
240.0,240.0,40.0,83.0,0.482,5.0,22.0,0.227,17.0,18.0,0.944,10.0,25.0,35.0,21.0,10.0,3.0,21.0,23.0,102.0,,0.561,0.512,0.265,0.217,23.8,69.4,44.9,52.5,9.9,6.7,18.8,100.0,101.4,122.2,DEN,102,0,1,240.0,240.0,42.0,83.0,0.506,16.0,38.0,0.421,23.0,31.0,0.742,11.0,32.0,43.0,27.0,10.0,1.0,19.0,21.0,123.0,,0.636,0.602,0.458,0.373,30.6,76.2,55.1,64.3,9.9,1.6,16.4,100.0,122.2,101.4,UTA,123,1,2023,2022-10-19,False
240.0,240.0,45.0,90.0,0.5,7.0,25.0,0.28,20.0,24.0,0.833,4.0,34.0,38.0,30.0,12.0,5.0,9.0,18.0,117.0,,0.582,0.539,0.278,0.267,9.3,69.4,41.3,66.7,11.7,7.9,8.2,100.0,114.3,104.5,ATL,117,1,0,240.0,240.0,42.0,98.0,0.429,9.0,35.0,0.257,14.0,15.0,0.933,15.0,39.0,54.0,25.0,4.0,3.0,15.0,20.0,107.0,,0.511,0.474,0.357,0.153,30.6,90.7,58.7,59.5,3.9,4.6,12.5,100.0,104.5,114.3,HOU,107,0,2023,2022-10-19,True
240.0,240.0,42.0,98.0,0.429,9.0,35.0,0.257,14.0,15.0,0.933,15.0,39.0,54.0,25.0,4.0,3.0,15.0,20.0,107.0,,0.511,0.474,0.357,0.153,30.6,90.7,58.7,59.5,3.9,4.6,12.5,100.0,104.5,114.3,HOU,107,0,1,240.0,240.0,45.0,90.0,0.5,7.0,25.0,0.28,20.0,24.0,0.833,4.0,34.0,38.0,30.0,12.0,5.0,9.0,18.0,117.0,,0.582,0.539,0.278,0.267,9.3,69.4,41.3,66.7,11.7,7.9,8.2,100.0,114.3,104.5,ATL,117,1,2023,2022-10-19,False
240.0,240.0,39.0,85.0,0.459,17.0,44.0,0.386,13.0,19.0,0.684,4.0,37.0,41.0,27.0,8.0,5.0,15.0,25.0,108.0,,0.578,0.559,0.518,0.224,10.8,77.1,48.2,69.2,7.9,8.3,13.8,100.0,106.7,113.6,SAC,108,1,0,240.0,240.0,39.0,88.0,0.443,11.0,28.0,0.393,26.0,33.0,0.788,11.0,33.0,44.0,20.0,11.0,2.0,11.0,17.0,115.0,,0.561,0.506,0.318,0.375,22.9,89.2,51.8,51.3,10.9,4.9,9.7,100.0,113.6,106.7,POR,115,0,2023,2022-10-19,False
240.0,240.0,50.0,102.0,0.49,12.0,26.0,0.462,18.0,25.0,0.72,21.0,40.0,61.0,31.0,9.0,4.0,12.0,21.0,130.0,,0.575,0.549,0.255,0.245,41.2,81.6,61.0,62.0,8.7,7.1,9.6,100.0,126.2,104.8,NOP,130,0,1,240.0,240.0,40.0,89.0,0.449,10.0,33.0,0.303,18.0,24.0,0.75,9.0,30.0,39.0,22.0,10.0,10.0,16.0,25.0,108.0,,0.542,0.506,0.371,0.27,18.4,58.8,39.0,55.0,9.7,13.2,13.8,100.0,104.8,126.2,BRK,108,1,2023,2022-10-19,True
240.0,240.0,40.0,85.0,0.471,8.0,22.0,0.364,19.0,22.0,0.864,8.0,32.0,40.0,25.0,4.0,5.0,12.0,29.0,107.0,,0.565,0.518,0.259,0.259,18.6,86.5,50.0,62.5,4.2,12.5,11.2,100.0,111.7,109.6,PHO,107,1,0,240.0,240.0,35.0,75.0,0.467,14.0,35.0,0.4,21.0,34.0,0.618,5.0,35.0,40.0,17.0,6.0,4.0,12.0,22.0,105.0,,0.584,0.56,0.467,0.453,13.5,81.4,50.0,48.6,6.3,6.3,11.8,100.0,109.6,111.7,DAL,105,0,2023,2022-10-19,True
240.0,240.0,37.0,80.0,0.463,12.0,28.0,0.429,22.0,28.0,0.786,8.0,38.0,46.0,21.0,6.0,2.0,19.0,24.0,108.0,,0.585,0.538,0.35,0.35,19.0,76.0,50.0,56.8,5.8,3.5,17.1,100.0,104.7,112.5,MIA,108,1,0,240.0,240.0,41.0,93.0,0.441,13.0,36.0,0.361,21.0,28.0,0.75,12.0,34.0,46.0,23.0,12.0,6.0,14.0,26.0,116.0,,0.551,0.511,0.387,0.301,24.0,81.0,50.0,56.1,11.6,11.5,11.7,100.0,112.5,104.7,CHI,116,0,2023,2022-10-19,False
240.0,240.0,35.0,75.0,0.467,14.0,35.0,0.4,21.0,34.0,0.618,5.0,35.0,40.0,17.0,6.0,4.0,12.0,22.0,105.0,,0.584,0.56,0.467,0.453,13.5,81.4,50.0,48.6,6.3,6.3,11.8,100.0,109.6,111.7,DAL,105,0,1,240.0,240.0,40.0,85.0,0.471,8.0,22.0,0.364,19.0,22.0,0.864,8.0,32.0,40.0,25.0,4.0,5.0,12.0,29.0,107.0,,0.565,0.518,0.259,0.259,18.6,86.5,50.0,62.5,4.2,12.5,11.2,100.0,111.7,109.6,PHO,107,1,2023,2022-10-19,False
240.0,240.0,36.0,86.0,0.419,13.0,30.0,0.433,23.0,32.0,0.719,12.0,29.0,41.0,19.0,15.0,4.0,13.0,23.0,108.0,,0.54,0.494,0.349,0.372,27.3,82.9,51.9,52.8,15.5,8.2,11.5,100.0,111.8,108.7,TOR,108,1,0,240.0,240.0,38.0,77.0,0.494,10.0,28.0,0.357,19.0,23.0,0.826,6.0,32.0,38.0,25.0,5.0,5.0,17.0,21.0,105.0,,0.603,0.558,0.364,0.299,17.1,72.7,48.1,65.8,5.2,8.9,16.3,100.0,108.7,111.8,CLE,105,0,2023,2022-10-19,True
240.0,240.0,41.0,93.0,0.441,13.0,36.0,0.361,21.0,28.0,0.75,12.0,34.0,46.0,23.0,12.0,6.0,14.0,26.0,116.0,,0.551,0.511,0.387,0.301,24.0,81.0,50.0,56.1,11.6,11.5,11.7,100.0,112.5,104.7,CHI,116,0,1,240.0,240.0,37.0,80.0,0.463,12.0,28.0,0.429,22.0,28.0,0.786,8.0,38.0,46.0,21.0,6.0,2.0,19.0,24.0,108.0,,0.585,0.538,0.35,0.35,19.0,76.0,50.0,56.8,5.8,3.5,17.1,100.0,104.7,112.5,MIA,108,1,2023,2022-10-19,True
